Time (UTCG),Ex (V/m),Ey (V/m),Ez (V/m),Etot (V/m)
1 Jan 2011 00:23:51.000,-0.09466104434067112,0.033045232710887995,0.0007794538957527963,0.100266187067021
1 Jan 2011 00:23:52.000,-0.09465956287944385,0.03303649929522237,0.000762636452763622,0.10026178107618923
1 Jan 2011 00:23:53.000,-0.09465811704524295,0.03302773595314001,0.0007458263019833444,0.1002574023282769
1 Jan 2011 00:23:54.000,-0.09465635558192183,0.03301861192406943,0.0007288907863515883,0.1002526092788709
1 Jan 2011 00:23:55.000,-0.09465498608144814,0.03300976880531308,0.000712110176757787,0.10024828341454634
1 Jan 2011 00:23:56.000,-0.09465365742642876,0.033000902298394044,0.0006953337794015595,0.10024399186870334
1 Jan 2011 00:23:57.000,-0.09465236506500907,0.03299197972502646,0.0006785827261636832,0.10023971973769956
1 Jan 2011 00:23:58.000,-0.09465076617779047,0.032982712349916544,0.0006616984001206989,0.10023504724782059
1 Jan 2011 00:23:59.000,-0.09464955159380967,0.032973723504229585,0.0006449683817788969,0.10023083379308043
1 Jan 2011 00:24:00.000,-0.09464839173414989,0.032964711417233845,0.0006282459696817747,0.10022666785681855
1 Jan 2011 00:24:01.000,-0.09464690750576453,0.03295532148646882,0.0006114089606850863,0.10022207409347736
1 Jan 2011 00:24:02.000,-0.09464581337917304,0.03294623024283928,0.0005947136312340907,0.10021795129477855
1 Jan 2011 00:24:03.000,-0.09464476557995773,0.03293709957378412,0.0005780350343748579,0.10021386283603424
1 Jan 2011 00:24:04.000,-0.09464375118097558,0.03292792952260094,0.0005613700184244564,0.10020979650986911
1 Jan 2011 00:24:05.000,-0.09464243468977553,0.032918410589113364,0.0005445766811246522,0.10020533300919418
1 Jan 2011 00:24:06.000,-0.09464150465487438,0.03290915855779728,0.0005279456172267019,0.10020132657253396
1 Jan 2011 00:24:07.000,-0.09464061759471414,0.03289988356596771,0.0005113192867501225,0.10019735667559375
1 Jan 2011 00:24:08.000,-0.09463977776035971,0.03289056938992175,0.0004947099646069074,0.10019342207586593
1 Jan 2011 00:24:09.000,-0.09463862290974537,0.03288090584181568,0.000477970113594207,0.10018907810066334
1 Jan 2011 00:24:10.000,-0.09463785176778647,0.03287151325421937,0.00046138876460213776,0.10018518977591422
1 Jan 2011 00:24:11.000,-0.0946371284142113,0.03286209466525837,0.0004448155449234616,0.10018134158188005
1 Jan 2011 00:24:12.000,-0.09463645294024688,0.032852637053705794,0.0004282595499881845,0.1001775293802769
1 Jan 2011 00:24:13.000,-0.09463535262286467,0.03284254320133239,0.0004114281088442444,0.10017310958073564
1 Jan 2011 00:24:14.000,-0.09463441106754342,0.032832683324229596,0.00039476941245054063,0.10016892080510269
1 Jan 2011 00:24:15.000,-0.0946338548578631,0.0328231214724495,0.0003782503548044792,0.1001651978572657
1 Jan 2011 00:24:16.000,-0.09463334728580607,0.03281352080174377,0.0003617487443174257,0.10016151171021963
1 Jan 2011 00:24:17.000,-0.09463287553384574,0.032803881357478665,0.0003452614359305257,0.10015785026336685
1 Jan 2011 00:24:18.000,-0.09463245284753859,0.03279420322385213,0.00032879169612441526,0.10015422607662829
1 Jan 2011 00:24:19.000,-0.09463125888966424,0.03278356202202864,0.00031191473703366695,0.10014956010236907
1 Jan 2011 00:24:20.000,-0.09463092218146474,0.03277381902891686,0.00029546837981388825,0.10014600315648198
1 Jan 2011 00:24:21.000,-0.0946306220910847,0.0327640374690825,0.0002790365507564267,0.10014247175907828
1 Jan 2011 00:24:22.000,-0.09463037173561978,0.03275421738872015,0.00026262251141820375,0.10013897833587393
1 Jan 2011 00:24:23.000,-0.09462970375599786,0.032743757745218295,0.00024593557698111986,0.1001348839742349
1 Jan 2011 00:24:24.000,-0.09462954105356594,0.0327338733299244,0.00022954513528004183,0.10013145956270282
1 Jan 2011 00:24:25.000,-0.09462907720883548,0.03272361193265413,0.00021304975690795237,0.10012763065964166
1 Jan 2011 00:24:26.000,-0.09462898936724194,0.032713650696296365,0.00019668910013703723,0.10012425908413501
1 Jan 2011 00:24:27.000,-0.09462850340837249,0.032703045367120896,0.00018006298246565124,0.10012030391618867
1 Jan 2011 00:24:28.000,-0.09462851760480193,0.03269300726616154,0.00016373873941427771,0.10011701093501736
1 Jan 2011 00:24:29.000,-0.0946285699982335,0.03268294389842967,0.00014742029382558636,0.10011374937800258
1 Jan 2011 00:24:30.000,-0.09462821355583448,0.032672222592465223,0.00013084317651144062,0.10010988987026732
1 Jan 2011 00:24:31.000,-0.09462835598785337,0.032662082560233084,0.00011455828046566906,0.1001066956688463
1 Jan 2011 00:24:32.000,-0.09462854988376859,0.032651904462054765,9.829174430038254e-05,0.10010354129285852
1 Jan 2011 00:24:33.000,-0.09462798476461473,0.0326407534877535,8.162772078843601e-05,0.10009935540224647
1 Jan 2011 00:24:34.000,-0.09462826076824563,0.032630495823408254,6.539531298236444e-05,0.10009626002129908
1 Jan 2011 00:24:35.000,-0.09462858534826188,0.032620216338143646,4.916900632257037e-05,0.10009320704499262
1 Jan 2011 00:24:36.000,-0.09462850558455461,0.0326092898962082,3.2676412865564446e-05,0.10008956451323478
1 Jan 2011 00:24:37.000,-0.09462892632388355,0.03259893127915534,1.6487562437217398e-05,0.10008658396405479
1 Jan 2011 00:24:38.000,-0.09462894069999263,0.03258792829377298,2.977339999469099e-08,0.10008301298663873
1 Jan 2011 00:24:39.000,-0.09462944203118581,0.03257749397949104,-1.612776041862957e-05,0.10008009129303383
1 Jan 2011 00:24:40.000,-0.09462956412964141,0.03256642746284501,-3.2556591099370613e-05,0.10007660898027212
1 Jan 2011 00:24:41.000,-0.09463015964430675,0.032555917669845294,-4.867937077776045e-05,0.10007375909454919
1 Jan 2011 00:24:42.000,-0.09463080863060438,0.03254538316950911,-6.47924934271625e-05,0.1000709553556847
1 Jan 2011 00:24:43.000,-0.0946310585538754,0.03253419954066854,-8.117001010652584e-05,0.10006756703022998
1 Jan 2011 00:24:44.000,-0.09463180288537153,0.03252358987868205,-9.724802670286374e-05,0.10006483634679676
1 Jan 2011 00:24:45.000,-0.09463213695615376,0.03251234322324812,-0.00011360241050689175,0.1000615146410557
1 Jan 2011 00:24:46.000,-0.09463297739963647,0.032501658608927,-0.00012964507703044272,0.10005885783726169
1 Jan 2011 00:24:47.000,-0.0946330678182371,0.032490007534242644,-0.0001460878798998801,0.10005518205437867
1 Jan 2011 00:24:48.000,-0.09463355524386896,0.032478647295006775,-0.00016238642414678002,0.10005197987825426
1 Jan 2011 00:24:49.000,-0.094634538535467,0.03246785989441924,-0.00017838305049536942,0.10004943593272841
1 Jan 2011 00:24:50.000,-0.09463512486162166,0.03245642444749794,-0.00019464532720870004,0.10004631043818792
1 Jan 2011 00:24:51.000,-0.09463619352872843,0.03244556265516088,-0.00021060918133504675,0.10004383048366437
1 Jan 2011 00:24:52.000,-0.09463688282758298,0.032434061717382626,-0.00022684113663597546,0.10004078871995126
1 Jan 2011 00:24:53.000,-0.09463805040024802,0.03242313844447927,-0.00024277818030544226,0.10003838978809379
1 Jan 2011 00:24:54.000,-0.09463882748370772,0.03241156273230979,-0.0002589765739306461,0.10003541440463617
1 Jan 2011 00:24:55.000,-0.09463966175394427,0.03239994955758531,-0.00027515479030590004,0.10003248481565216
1 Jan 2011 00:24:56.000,-0.09464097633130741,0.03238891207607656,-0.00029103537215121006,0.10003019908009156
1 Jan 2011 00:24:57.000,-0.09464191227334036,0.032377224492326676,-0.0003071764483182611,0.1000273491698724
1 Jan 2011 00:24:58.000,-0.09464289332276783,0.03236551223823149,-0.00032330978063982186,0.10002453783028532
1 Jan 2011 00:24:59.000,-0.09464435665741538,0.03235437370966415,-0.00033914277743201423,0.10002237131294248
1 Jan 2011 00:25:00.000,-0.09464544061075471,0.03234258738035469,-0.00035523860983825023,0.10001964097780844
1 Jan 2011 00:25:01.000,-0.09464656089651793,0.03233076075791105,-0.00037131707302595537,0.1000169358513461
1 Jan 2011 00:25:02.000,-0.09464852731693067,0.03231984313300894,-0.00038697130893120555,0.1000153274763424
1 Jan 2011 00:25:03.000,-0.09464976439356339,0.032307942927035774,-0.0004030089041167977,0.10001271665198609
1 Jan 2011 00:25:04.000,-0.09465104786436726,0.032296018368730764,-0.00041903842343920844,0.10001014577279875
1 Jan 2011 00:25:05.000,-0.09465281097647862,0.032284657380864897,-0.00043475907623320833,0.10000821337971794
1 Jan 2011 00:25:06.000,-0.09465419976722086,0.032272659457040734,-0.00045075033047925126,0.10000572612537495
