Time (UTCG),Lat (deg),Lon (deg),Alt (km),vx (km/sec),vy (km/sec),vz (km/sec),vx (km/sec).1,vy (km/sec).1,vz (km/sec).1,B_Tesla,Bx_Tesla,By_Tesla,Bz_Tesla
1 Jan 2011 00:00:57.000,-81.61,100.31700000000001,3019.6180440000003,-0.997994,-5.736494,-0.763335,5.8570139999999995,-0.040362,-0.769786,1.781174496515431e-05,-2.1877920016845455e-06,-1.6886961784582325e-06,1.7596025974006903e-05
1 Jan 2011 00:00:58.000,-81.643,100.402,3019.575361,-0.998713,-5.736992,-0.7588560000000001,5.857637,-0.040126999999999996,-0.765308,1.7811077793885513e-05,-2.1834625721618008e-06,-1.6966769523654645e-06,1.7595120650200785e-05
1 Jan 2011 00:00:59.000,-81.67699999999999,100.486,3019.531856,-0.999432,-5.737487000000001,-0.754378,5.858258,-0.039893,-0.76083,1.7810312168290882e-05,-2.179180105123116e-06,-1.7047578274831569e-06,1.7594095439977605e-05
1 Jan 2011 00:01:00.000,-81.71,100.572,3019.48753,-1.00015,-5.737979,-0.749898,5.858875,-0.039658,-0.756352,1.7809636987727622e-05,-2.1747900817826125e-06,-1.71276429253789e-06,1.7593177547362587e-05
1 Jan 2011 00:01:01.000,-81.744,100.65799999999999,3019.442382,-1.000868,-5.738468,-0.7454189999999999,5.85949,-0.039424,-0.7518729999999999,1.7808878910946074e-05,-2.170395366171284e-06,-1.7209082746387177e-06,1.7592158103243673e-05
1 Jan 2011 00:01:02.000,-81.777,100.745,3019.396413,-1.001585,-5.738954,-0.740939,5.8601019999999995,-0.039189999999999996,-0.747393,1.780819518507404e-05,-2.1659444095528516e-06,-1.7289398717453648e-06,1.7591227003376144e-05
1 Jan 2011 00:01:03.000,-81.811,100.833,3019.3496219999997,-1.002302,-5.739438,-0.736458,5.860711,-0.038955000000000004,-0.7429140000000001,1.7807443766197455e-05,-2.1614368820191823e-06,-1.7371461149520903e-06,1.7590212263262735e-05
1 Jan 2011 00:01:04.000,-81.844,100.921,3019.3020100000003,-1.003019,-5.739918,-0.731977,5.861317,-0.038721,-0.738433,1.7806750961535576e-05,-2.1569246508191587e-06,-1.7452022729818495e-06,1.758926732081856e-05
1 Jan 2011 00:01:05.000,-81.878,101.01100000000001,3019.253577,-1.003735,-5.740396,-0.727496,5.861921,-0.038486,-0.733953,1.78060053060638e-05,-2.1523037406673994e-06,-1.7534699086378918e-06,1.7588256219619467e-05
1 Jan 2011 00:01:06.000,-81.911,101.101,3019.204322,-1.004451,-5.740871,-0.723014,5.862522,-0.038252,-0.729472,1.7805318538304078e-05,-2.1476779601203302e-06,-1.7615871787636657e-06,1.758731526531846e-05
1 Jan 2011 00:01:07.000,-81.944,101.191,3019.154246,-1.005166,-5.741343,-0.718532,5.863119999999999,-0.038017,-0.7249899999999999,1.7804619052678786e-05,-2.14304719306119e-06,-1.7696976320351994e-06,1.758635774202532e-05
