Time (UTCG),Lat (deg),Lon (deg),Alt (km),Interpolated_Data
Jan 01 2015 01:03:33.000000000,22.21202463,65.44317080000002,195.5211021,1903.7475887453002
Jan 01 2015 01:03:34.000000000,22.28565306,65.44346800000002,196.0299709,1935.9716249888647
Jan 01 2015 01:03:35.000000000,22.35926934,65.44376919999999,196.540434,1967.4361997319584
Jan 01 2015 01:03:36.000000000,22.43287344,65.4440744,197.05249030000002,1998.1373600946026
Jan 01 2015 01:03:37.000000000,22.50646532,65.44438360000001,197.5661385,2028.0711429180224
Jan 01 2015 01:03:38.000000000,22.58004495,65.4446969,198.0813774,2057.233604400506
Jan 01 2015 01:03:39.000000000,22.653612300000002,65.4450142,198.5982059,2085.6207895855214
Jan 01 2015 01:03:40.000000000,22.72716733,65.44533569999999,199.11662280000002,2113.228773346096
Jan 01 2015 01:03:41.000000000,22.80071001,65.44566119999996,199.63662680000002,2140.053580725479
Jan 01 2015 01:03:42.000000000,22.8742403,65.4459909,200.15821680000002,2166.0913005603284
Jan 01 2015 01:03:43.000000000,22.94775816,65.44632469999999,200.68139159999998,2191.3379806914954
Jan 01 2015 01:03:44.000000000,23.02126357,65.44666260000002,201.2061499,2215.789675952374
Jan 01 2015 01:03:45.000000000,23.09475649,65.4470048,201.7324905,2239.4424824576045
Jan 01 2015 01:03:46.000000000,23.16823688,65.44735109999999,202.2604123,2292.727343465739
Jan 01 2015 01:03:47.000000000,23.24170471,65.44770170000001,202.78991399999998,2389.6484382324657
Jan 01 2015 01:03:48.000000000,23.31515995,65.4480565,203.3209945,2485.9328293010813
Jan 01 2015 01:03:49.000000000,23.38860256,65.44841549999998,203.8536524,2580.1221908199514
Jan 01 2015 01:03:50.000000000,23.46203252,65.44877880000001,204.3878865,2672.206235484109
Jan 01 2015 01:03:51.000000000,23.53544977,65.44914640000002,204.9236957,2762.1746934832045
Jan 01 2015 01:03:52.000000000,23.6088543,65.44951830000002,205.46107859999998,2850.0172399015237
Jan 01 2015 01:03:53.000000000,23.68224607,65.44989449999997,206.0000341,2935.723623437244
Jan 01 2015 01:03:54.000000000,23.75562504,65.45027510000003,206.540561,3072.07356066259
Jan 01 2015 01:03:55.000000000,23.82899118,65.45066,207.08265790000002,3180.481345036231
Jan 01 2015 01:03:56.000000000,23.90234446,65.45104930000002,207.6263237,3287.892679284023
Jan 01 2015 01:03:57.000000000,23.97568484,65.45144300000001,208.171557,3397.3306902398344
Jan 01 2015 01:03:58.000000000,24.04901229,65.45184119999999,208.7183568,3508.802538482684
Jan 01 2015 01:03:59.000000000,24.12232677,65.4522437,209.2667216,3622.3151438693285
Jan 01 2015 01:04:00.000000000,24.19562826,65.45265079999999,209.8166502,3737.8757049408714
Jan 01 2015 01:04:01.000000000,24.26891672,65.45306230000003,210.36814139999998,3978.7752169835207
Jan 01 2015 01:04:02.000000000,24.34219212,65.45347830000003,210.92119399999999,4268.1065532648745
Jan 01 2015 01:04:03.000000000,24.41545442,65.45389879999999,211.4758066,4565.985580992414
Jan 01 2015 01:04:04.000000000,24.48870359,65.45432390000002,212.03197790000002,4865.8202541156825
Jan 01 2015 01:04:05.000000000,24.561939600000002,65.45475350000001,212.5897069,5167.6141580013455
Jan 01 2015 01:04:06.000000000,24.63516241,65.45518769999998,213.148992,5471.370669159438
Jan 01 2015 01:04:07.000000000,24.70837199,65.45562650000002,213.70983219999997,5777.0933854656405
Jan 01 2015 01:04:08.000000000,24.78156831,65.45606989999999,214.272226,6084.7856148594865
Jan 01 2015 01:04:09.000000000,24.85475134,65.45651800000002,214.83617230000002,6394.450930707234
Jan 01 2015 01:04:10.000000000,24.92792104,65.4569707,215.40166969999996,6706.09255255918
Jan 01 2015 01:04:11.000000000,25.00107739,65.45742809999999,215.96871690000003,7019.713898499023
Jan 01 2015 01:04:12.000000000,25.07422034,65.45789010000001,216.53731269999997,7335.318222735749
Jan 01 2015 01:04:13.000000000,25.14734986,65.45835690000001,217.10745580000003,7652.908988823245
Jan 01 2015 01:04:14.000000000,25.22046593,65.45882839999999,217.67914480000005,7972.489294119769
Jan 01 2015 01:04:15.000000000,25.29356851,65.45930469999999,218.25237850000002,8294.062507768176
Jan 01 2015 01:04:16.000000000,25.36665757,65.45978579999999,218.8271556,8773.618408043554
Jan 01 2015 01:04:17.000000000,25.43973307,65.4602716,219.40347480000003,9348.15011293514
Jan 01 2015 01:04:18.000000000,25.51279499,65.46076230000003,219.98133470000002,9929.99383276071
Jan 01 2015 01:04:19.000000000,25.58584328,65.46125780000003,220.5607341,10508.71906351205
Jan 01 2015 01:04:20.000000000,25.65887793,65.46175809999997,221.1416716,11084.305920127968
Jan 01 2015 01:04:21.000000000,25.731898899999997,65.46226329999999,221.724146,11656.734828526907
Jan 01 2015 01:04:22.000000000,25.80490615,65.4627735,222.3081559,12225.986023745289
Jan 01 2015 01:04:23.000000000,25.87789965,65.46328849999998,222.8937,12792.039419573539
Jan 01 2015 01:04:24.000000000,25.95087937,65.4638085,223.4807769,13354.875366637734
Jan 01 2015 01:04:25.000000000,26.02384529,65.46433350000001,224.06938540000002,13914.474126436866
Jan 01 2015 01:04:26.000000000,26.09679736,65.46486340000001,224.6595241,14470.815604482403
Jan 01 2015 01:04:27.000000000,26.16973556,65.4653983,225.2511917,15023.880081069701
Jan 01 2015 01:04:28.000000000,26.24265985,65.4659383,225.8443869,15573.647835978489
Jan 01 2015 01:04:29.000000000,26.31557021,65.46648330000002,226.43910830000002,16459.113461530113
Jan 01 2015 01:04:30.000000000,26.38846659,65.4670333,227.0353546,17097.55175191508
Jan 01 2015 01:04:31.000000000,26.46134898,65.46758849999998,227.63312439999999,17952.979436166752
Jan 01 2015 01:04:32.000000000,26.53421734,65.46814869999997,228.23241639999998,18800.25714687552
Jan 01 2015 01:04:33.000000000,26.60707163,65.46871409999997,228.83322919999998,19635.2313971263
Jan 01 2015 01:04:34.000000000,26.67991183,65.46928459999998,229.4355616,20457.84766676146
Jan 01 2015 01:04:35.000000000,26.752737899999996,65.46986030000002,230.0394121,21268.051411396453
Jan 01 2015 01:04:36.000000000,26.82554982,65.47044120000001,230.64477940000003,22065.788235857046
